"id";"ssn";"firstName";"lastName";"sex";"tel";"email";"houseNumber";"road";"district";"subDistrict";"province";"zipCode";"department"
"2110010001";"1102374839018";"Gizela";"Bach";"M";"8412455611";"sebbing0@globo.com";"8696";"เพชรเกษม";"ภาษีเจริญ";"บางหว้า";"กรุงเทพมหานคร";"10340";"ฝ่ายทะเบียนและวัดผล"
"2110010002";"1192039483910";"Konstantin";"Sturge";"M";"8565695950";"stoner1@webeden.co.uk";"0";"พญาไท";"พญาไท";"พญาไท";"กรุงเทพมหานคร";"10460";"ฝ่ายทะเบียนและวัดผล"
"2110010003";"1193543808291";"Trula";"Robb";"M";"6383923247";"gdavenhall2@imgur.com";"0";"สุขุมวิท";"พระโขนง";"บางจาก";"กรุงเทพมหานคร";"10380";"ฝ่ายทะเบียนและวัดผล"
"2110010004";"4736493238403";"Monique";"Kilborn";"F";"6877452758";"gjakuszewski3@nydailynews.com";"5";"ตรีเพชร";"พระนคร";"วังบูรพาภิรมย์";"กรุงเทพมหานคร";"10480";"ฝ่ายทะเบียนและวัดผล"
"2110010005";"4538209481631";"Marcus";"Lilburn";"F";"9143402986";"mmussard4@marketwatch.com";"795";"เจริญกรุง";"บางรัก";"สี่พระยา";"กรุงเทพมหานคร";"10480";"ฝ่ายทะเบียนและวัดผล"
"2110010006";"1473947194819";"Jacklyn";"Pallister";"M";"2814255225";"dleythley5@tinypic.com";"8067";"ลาดพร้าว";"จตุจักร";"จตุจักร";"กรุงเทพมหานคร";"10530";"ฝ่ายทะเบียนและวัดผล"
"2110010007";"1103948173201";"Ignaz";"Gaythor";"M";"2436942260";"dcarolan6@google.com.hk";"3";"กาญจนาภิเษก";"คลองสามวา";"สามวาตะวันตก";"กรุงเทพมหานคร";"10491";"ฝ่ายทะเบียนและวัดผล"
"2110010008";"1193284710381";"Paquito";"Kinig";"F";"3999486564";"gbanat7@behance.net";"8347";"บางบอน 5";"บางบอน";"บางบอน";"กรุงเทพมหานคร";"10150";"ฝ่ายทะเบียนและวัดผล"
"2110010009";"1103749371191";"DesdeMona";"Arends";"M";"5462674955";"mhandover8@nydailynews.com";"214";"รามคำแหง";"สะพานสูง";"สะพานสูง";"กรุงเทพมหานคร";"10240";"ฝ่ายทะเบียนและวัดผล"
"2110010010";"1183740932101";"Stacie";"Maier";"M";"9214391334";"jlawley9@wordpress.com";"2";"สุวินธวงศ์";"หนองจอก";"ลำผักชี";"กรุงเทพมหานคร";"10483";"ฝ่ายทะเบียนและวัดผล"
