"id";"ssn";"firstName";"lastName";"sex";"enrollYear";"status";"tel";"email";"houseNumber";"road";"district";"subDistrict";"province";"zipCode";"facultyId"
"5730000121";"1463352451718";"ดลชนก";"วีรวงศ์";"F";"2014";"Studying";"849382194";"05@chula.ac.th";"2354";"เจริญกรุง";"สี่พระยา";"บางรัก";"กรุงเทพมหานคร";"10480";"21"
"5730000221";"1553453491907";"สมชาย";"บุญรอด";"M";"2014";"Studying";"849582941";"06@chula.ac.th";"140";"ลาดพร้าว";"จตุจักร";"จตุจักร";"กรุงเทพมหานคร";"10530";"21"
"5830000121";"1643554532066";"พชร";"แสนลัง";"M";"2015";"Studying";"849581941";"07@chula.ac.th";"248";"กาญจนาภิเษก";"สามวาตะวันตก";"คลองสามวา";"กรุงเทพมหานคร";"10491";"21"
"5830000221";"1733655572245";"ณัฐดนัย";"สุขสมชีวิน";"M";"2015";"Studying";"948571941";"08@chula.ac.th";"395";"บางบอน 5";"บางบอน";"บางบอน";"กรุงเทพมหานคร";"10150";"21"
"5930000121";"1823756612064";"ต้องชนก";"สันติธรรมนนท์";"F";"2016";"Studying";"849581803";"09@chula.ac.th";"4085";"รามคำแหง";"สะพานสูง";"สะพานสูง";"กรุงเทพมหานคร";"10240";"21"
"5930000221";"1913857625783";"ณัชชา";"จันทร์โอชา";"F";"2016";"Studying";"869289013";"10@chula.ac.th";"139";"สุวินธวงศ์";"ลำผักชี";"หนองจอก";"กรุงเทพมหานคร";"10483";"21"
"6030000121";"2003958692702";"กฤตภาส";"บัวทอง";"M";"2017";"Studying";"994840984";"11@chula.ac.th";"11";"ดาวคะนอง";"ราษฎร์บูรณะ";"ราษฎร์บูรณะ";"กรุงเทพมหานคร";"10948";"21"
"6030000221";"2094059732221";"รัฐนันท์";"สิงห์ทองวรรณ";"M";"2017";"Studying";"984831084";"12@chula.ac.th";"2";"พระราม 1";"พญาไท";"พญาไท";"กรุงเทพมหานคร";"10495";"21"
"6130000121";"1128330481721";"สมศรี";"ขยันเรียน";"F";"2018";"Studying";"374819301";"13@chula.ac.th";"7";"เพชรเกษม";"บางยี่เรือ";"ธนบุรี";"กรุงเทพมหานคร";"10381";"21"
"6130000221";"1110475834912";"ชาติชัย";"นิสิตใหม่";"M";"2018";"Studying";"384714918";"14@chula.ac.th";"1";"เพชรเกษม";"บางแค";"บางแค";"กรุงเทพมหานคร";"13702";"21"
