"id";"ssn";"firstName";"lastName";"sex";"tel";"email";"houseNumber";"road";"district";"subDistrict";"province";"zipCode";"code";"facultyId"
"2110000001";"1104930539041";"Adam";"Potter";"M";"0810956818";"t01@chula.ac.th";"142";"เพชรเกษม";"ภาษีเจริญ";"บางหว้า";"กรุงเทพมหานคร";"10400";"AAA";"21"
"2110000002";"1104958359173";"Book";"Evans";"M";"0905521090";"t02@chula.ac.th";"96303";"พญาไท";"พญาไท";"พญาไท";"กรุงเทพมหานคร";"10480";"BBB";"21"
"2110000003";"1149683059184";"Cathey";"Pacific";"F";"0963676881";"t03@chula.ac.th";"0";"สุขุมวิท";"พระโขนง";"บางจาก";"กรุงเทพมหานคร";"10470";"CCC";"21"
"2110000004";"1104837594660";"Dollar";"United";"M";"0568539559";"t04@chula.ac.th";"17095";"ตรีเพชร";"พระนคร";"วังบูรพาภิรมย์";"กรุงเทพมหานคร";"10570";"DDD";"21"
"2110000005";"1640265037493";"Ellin";"Oliver";"F";"0767147113";"t05@chula.ac.th";"3301";"เจริญกรุง";"บางรัก";"สี่พระยา";"กรุงเทพมหานคร";"12630";"EEE";"21"
"2110000006";"1039485069180";"Fantastic";"Beats";"F";"0372534152";"t06@chula.ac.th";"4287";"ลาดพร้าว";"จตุจักร";"จตุจักร";"กรุงเทพมหานคร";"15630";"FFF";"21"
"2110000007";"4759385069184";"George";"Weasley";"M";"0640821693";"t07@chula.ac.th";"2563";"กาญจนาภิเษก";"คลองสามวา";"สามวาตะวันตก";"กรุงเทพมหานคร";"10570";"GGG";"21"
"2110000008";"1957305839601";"Hagrid";"Rubeus";"M";"0664658290";"t08@chula.ac.th";"8867";"บางบอน 5";"บางบอน";"บางบอน";"กรุงเทพมหานคร";"10680";"HHH";"21"
"2110000009";"1049530192841";"Ikloo";"North";"F";"0102394420";"t09@chula.ac.th";"836";"รามคำแหง";"สะพานสูง";"สะพานสูง";"กรุงเทพมหานคร";"10260";"III";"21"
"2110000010";"7830592233942";"Jaclyn";"Woods";"F";"0831807501";"t10@chula.ac.th";"31639";"สุวินธวงศ์";"หนองจอก";"ลำผักชี";"กรุงเทพมหานคร";"10570";"JJJ";"21"
